Designation,Company,Salary from InsiderInc
Technical Specialist,IBM,8.7
Technical Specialist,IBM,8.7
Technical Support Analyst,IBM,6
Unix Admin,IBM,10.5
R&D Software Engineer,IBM Research,12
Senior Software Engineer,IBM Research,10
Software Engineer,IBM Research,15.8
Manager,IBN,18.4
Vice President,IBN,18
Advisory Consultant,IBM India,13.7
Analytics Consultant,IBM India,4.2
Associate Systems Engineer,IBM India,2.6
Business Analyst,IBM India,10.2
Delivery Project Manager,IBM India,21.7
Development Manager,IBM India,24
Lead Business Analyst,IBM India,5
Marketing Manager,IBM India,13.7
Systems Engineer,IBM India,5.5
Technical Project Lead,IBM India,14.5
Technical Team Lead,IBM India,10.2
Analyst,ICICI Bank,10.5
Assistant Manager,ICICI Bank,5.5
Manager,ICICI Bank,11.3
Relationship Manager,ICICI Bank,6.2
Vice President,ICICI Bank,23.4
Vice President - Marketing,ICICI Bank,28.4
Manager,ICICI Prudential AMC,10.5
Senior Software Engineer,Icreon Communications,11.6
Senior Consultant,Icreate software,14.7
Senior Validation Analyst,ICON Clinical Research,8.6
Assistant Manager,IDBI Bank,6
Assistant Manager,IDEA Cellular,6.4
Manager,IDEA Cellular,11.5
Software Engineer,IDC Systems,2.7
Senior Software Engineer,Ideas2it Technologies,9
Senior Executive - Human Resources,IFFCO Kisan Sanchar Ltd.,18.9
Manager,IFCI,14.5
Assistant Manager - Operations,IFB,7.3
Associate Software Engineer,iGATE Patni,3.6
Delivery Manager,iGATE Patni,15.8
Design Engineer,iGATE Patni,2.6
Developer,iGATE Patni,5.9
IT Engineer,iGATE Patni,3.2
Project Lead,iGATE Patni,9.5
Project Manager,iGATE Patni,14.2
Senior Software Developer,iGATE Patni,3.8
Senior Software Engineer,iGATE Patni,5.5
Senior Software Specialist,iGATE Patni,10.3
Senior Systems Engineer,iGATE Patni,6.4
Senior Team Lead,iGATE Patni,7.4
Senior Technical Architect,iGATE Patni,17.9
Software Engineer,iGATE Patni,4
Software Specialist,iGATE Patni,10.1
Systems Analyst,iGATE Patni,6.8
Team Lead,iGATE Patni,7
Technical Lead,iGATE Patni,8.9
PHP Developer,Iksen India,0.9
Business Analyst,ILeadFarmers,3.2
Analytics Manager,IMRB,2.2
Research Manager,IMRB,7.5
Senior Software Engineer,Impetus Infotech,9.5
Software Engineer,Impetus Infotech,5.5
Research Associate,Impetus research,1.6
Associate Project Manager,IMC Global Services,8.1
Analyst,iNautix Technologies,7.1
Application Developer,iNautix Technologies,3.6
Applications Developer,iNautix Technologies,4.1
Associate Program Manager,iNautix Technologies,11.9
Lead Business Analyst,iNautix Technologies,10.4
Senior Applications Developer,iNautix Technologies,4.9
Tech Lead,iNautix Technologies,4.5
QA Lead,Indecomm Global Services,6.8
Senior SQA Engineer,Indecomm Global Services,6.8
Senior Software Engineer,Indecomm Global Services,7.1
Software Engineer,Indecomm Global Services,5.8
Engineer,Indian Oil,10.6
Senior Research Manager,Indian Oil,15.6
Scientist,Indian Space Research Organization,5.3
Analyst,Inductis,8.9
Assistant Manager,Inductis,12.8
Assistant Project Manager,Inductis,16.1
Programmer Analyst,Inductis,6.2
Senior Programmer Analyst,Inductis,8.1
Associate Software Engineer,Indus Valley Partners,4.4
Business Analyst,Indus Valley Partners,12.8
Senior Software Engineer,Indus Valley Partners,12.5
Software Engineer,Indus Valley Partners,6.6
Software Engineer,Infineon Technologies,8.8
Senior Associate,Infiniti Research,6
Assistant Consultant,Infogain,8.9
Associate Consultant,Infogain,17.1
Senior Software Engineer,Infogain,6.3
Software Engineer,Infogain,6.2
Java Developer,Informatica,3.2
Product Marketing Manager,Informatica,2.1
Senior Consultant,Informatica,10.2
Senior Software Engineer,Informatica,11.4
Software Engineer,Informatica,9.4
Design Engineer,Infotech Enterprises,4
Design Engineer II,Infotech Enterprises,3.6
Senior Design Engineer,Infotech Enterprises,5.6
Software Engineer,Infotech Enterprises,3.9
Analyst,ING,6.5
Assistant Manager - Customer Service,ING,2.7
Assistant Manager - Operations,ING,2.8
Product Manager,Ingram Micro,6.3
Senior Software Development Engineer In Test,InMobi,15
Software Development Engineer In Test,InMobi,13.7
Software Engineer,InMobi,14.7
Development Consultant,Intec Billing,5.9
Senior Software Engineer,Integra Micro Systems,5
ASIC Verification Engineer,Intel Corporation,15
Component Design Engineer,Intel Corporation,10.6
Design Engineer,Intel Corporation,8.9
Research Engineer,Intel Corporation,15.8
Senior Component Design Engineer,Intel Corporation,14.5
Senior Software Design Engineer,Intel Corporation,16.7
Senior Software Developer,Intel Corporation,9.5
Senior Software Engineer,Intel Corporation,18.4
Software Engineer,Intel Corporation,12.5
Consultant,Intelligroup,7.8
Software Analyst,Intergraph,4.6
Applications Engineer,IPSoft,7.9
Lead Database Administrator,IPSoft,16.9
Network Engineer,IPSoft,7.7
Php Web Developer,IPOPL,3.4
Software Engineer,IPSR solutions,1.8
Research Analyst,Irevna,7.8
Associate,iRunway,8
Senior Associate,iRunway,8.3
Software Engineer,IRely Soft Services,4.9
Business Development Executive,iSense Prowareness,7
Analyst,ISGN,3.7
Associate IT Consultant,ITC Infotech India,6.3
IT Consultant,ITC Infotech India,14.7
Senior Engineer,Ittiam Systems,7.3
Software Engineer,Ittiam Systems,7.2
Lead UI / UX Designer,Itbright,9
Software Test Engineer,Itbright,18.4
Senior Software Engineer,IVY Comptech,10.9
Software Engineer,IVY Comptech,8.1
System Analyst,IVY Comptech,14.8
Systems Analyst,IVY Comptech,14.8
Software Development Manager,Ixia,23.9
Software Engineer,Ixia,7.1
Software Engineer,Jade eServices,3.8
Supplier Development Engineer,JCB,5.8
Product Manager,JDA Software,21
Project Manager,JDA Software,23.8
Senior Technical Architect,JDA Software,18.5
Senior Technical Consultant,JDA Software,14.7
Senior Test Engineer,JDA Software,8.1
Software Engineer,JDA Software,6.4
Cabin Crew (Female) Air Hostess,Jet Airways,7.4
Cabin Crew (Male) Steward,Jet Airways,4.5
Pilot,Jet Airways,12.6
Software Developer,Jenesys,2.8
Assistant Manager - Human Resources,Jindal Stainless Steel Ltd.,66.3
Graduate Engineer Trainee,Jindal Stainless Steel Ltd.,5.3
General Manager,John Deere,42.2
Technical Architect,John Deere,13.6
Analyst,JPMorgan Chase,10
Application Developer,JPMorgan Chase,11
Application Developer Associate,JPMorgan Chase,13.5
Applications Developer,JPMorgan Chase,9.1
Associate,JPMorgan Chase,11.8
Associate Applications Developer,JPMorgan Chase,10.8
Business Analyst,JPMorgan Chase,7.2
Executive Director,JPMorgan Chase,42
Investment Banking Analyst,JPMorgan Chase,10.8
Investment Banking Associate,JPMorgan Chase,20.6
Manager Technology,JPMorgan Chase,19.1
Officer,JPMorgan Chase,13.6
Operations Analyst,JPMorgan Chase,11.8
Senior Applications Developer,JPMorgan Chase,10.3
Senior Financial Analyst,JPMorgan Chase,9.7
Software Developer,JPMorgan Chase,13
Team Lead,JPMorgan Chase,7.6
Vice President - Technology,JPMorgan Chase,25.2
Vice President - Technology,JP Morgan Chase,26.3
Analyst,JP Morgan,2.7
Application Developer,JP Morgan,9.9
Assistant Manager,JSW Steel,4.7
Engineering Manager,Juniper Networks,27.1
Member of Technical Staff I,Juniper Networks,6.7
Member of Technical Staff II,Juniper Networks,9.3
Member of Technical Staff III,Juniper Networks,12.1
Member of Technical Staff IV,Juniper Networks,19.4
Program Manager,Juniper Networks,20.6
QA Engineer III,Juniper Networks,12.6
Senior Software Engineer,Juniper Networks,10.8
Software Engineer,Juniper Networks,12.1
Technical Systems Analyst 5,Juniper Networks,20.5
Project architect,Kapl,6.1
Trainee Accountant,KBIHM Consulting,0.6
Project Manager,Keane,8.7
Senior Software Engineer,Keane,4.6
Software Engineer,Keane,3.8
Team Lead,Keane,8
Account Executive,Kerry Logistics,1.9
Lemar,Kingfisher airlines,10.7
Regional Manager,Kisan Mouldings,9.5
Associate Software Developer,Klonec Innovations,2.3
Senior Software Engineer,Komli Media,24.4
Software Engineer,Komli Media,15.6
Associate Engineer,Kony Labs,6.5
Corporate Banking Relationship Manager,Kotak,9.7
Vice President,Kotak,47.8
Software Developer,KopyKitab.com,4.2
Deputy Manager,Kotak life insurance,3.2
Consultant,KPIT Infosystems,6.4
Member of Technical Staff,KPIT Infosystems,10.4
Senior Functional Consultant,KPIT Infosystems,10.8
Senior Software Engineer,KPIT Infosystems,8.1
Software Engineer,KPIT Infosystems,5.1
Systems Executive,KPIT Infosystems,4.7
Tech Lead,KPIT Infosystems,7.7
Advisory Assistant Manager,KPMG,13
Analyst,KPMG,8.2
Associate Consultant,KPMG,7.9
Consultant,KPMG,6
Executive,KPMG,6.1
Management Consulting Consultant,KPMG,8.6
Senior Consultant,KPMG,12.4
Senior Consultant (FI&DS),KPMG,7.9
Welding Engineer,Krishna Engg Works,3.2
Regional Sales Manager - South,Kunhar Peripherals,11.6
Senior Engineer,Lanco Infratech,9.1
Account Executive,Larsen & Toubro (L&T),7.6
Assistant Manager,Larsen & Toubro (L&T),7.9
Engineer,Larsen & Toubro (L&T),5.2
Executive,Larsen & Toubro (L&T),5.3
Graduate Engineer Trainee,Larsen & Toubro (L&T),3.4
Management Trainee,Larsen & Toubro (L&T),7.5
Senior Engineer,Larsen & Toubro (L&T),5.8
Analyst,Latentview Analytics,4.5
Business Analyst,Latentview Analytics,3.8
Hr manager,Lalitha jewellery,4.6
Senior Executive - Human Resources,Lakshya Digital,3.8
Operation and maintenance engineer,Larsen & Toubro (L&T) Shipbuilding,2.3
Associate Systems Engineer,Lexmark International,2.2
Senior Software Engineer,Lexmark International,6.9
Software Engineer,Lexmark International,11.1
Finance Controller,Leggett & Platt,9.2
Senior Software Engineer,Lemonpro Technologies,6.8
Deputy Manager,LG Electronics,3.4
Sales Manager,LG Electronics,7.5
Senior Engineer,LG Electronics,8.4
Senior Software Engineer,LG Electronics,11.2
Systems Analyst,Lionbridge,6.3
JBOSS Administrator,Live connections,9
Senior Software Development Engineer,Limberlink Technologies,12.6
Senior Software Engineer,Lister Technologies,6.3
Executive Engineer,Linde Engineering,10.6
Product Manager,LinkedIn,21.5
Sales,Lodha,4.2
IT Consultant,Logica,7.5
Software Engineer,Logica,5.1
Team Lead,Logica,11.1
Management Trainee,Lowe lintas,26.3
CRM developer,Locus IT,1.2
Manager,LRN,8.8
ASIC Verification Engineer,LSI,9.6
Senior ASIC Design Engineer,LSI,15.4
Senior Design Engineer,LSI,14.4
Senior Software Engineer,LSI,17.3
Software Engineer,LSI,9.5
Managing Director,Lubing India,16.2
Management Trainee,Lucid Software,6.3
Cabin Crew (Female) Air Hostess,Lufthansa,7.4
Assistant Manager,Maersk Line,6.1
Lead Engineer,Magna Infotech,12.6
Assistant Manager,Mahindra Group,5.4
Consultant,Mahindra Group,8.5
Graduate Engineer Trainee,Mahindra Group,5
Associate,Mahindra Satyam,4.4
Associate Consultant,Mahindra Satyam,6.2
Big Data Consultant,Mahindra Satyam,3.7
Business Analyst,Mahindra Satyam,6.7
Design Engineer,Mahindra Satyam,2.6
Project Lead,Mahindra Satyam,10.3
Project Manager,Mahindra Satyam,14.8
QA Lead,Mahindra Satyam,6.8
SAP Lead Consultant,Mahindra Satyam,9.7
Senior Consultant,Mahindra Satyam,18
Senior Software Engineer,Mahindra Satyam,6.2
Software Developer,Mahindra Satyam,3.8
Software Engineer,Mahindra Satyam,4.5
Systems Analyst,Mahindra Satyam,9.6
Team Lead,Mahindra Satyam,10.5
Test Analyst,Mahindra Satyam,4.2
Test Engineer,Mahindra Satyam,3.9
Test Lead,Mahindra Satyam,7.2
Quality Assurance Analyst,Manhattan Associates,6.5
Senior Software Analyst,Manhattan Associates,13.3
Senior Software Engineer,Manhattan Associates,10.3
Software Analyst,Manhattan Associates,8
Software Engineer,Manhattan Associates,7
Senior Software Development Engineer,MAQ Software,7.7
Software Developer,MAQ Software,6.3
Software Development Engineer,MAQ Software,4.8
Software Development Engineer In Test,MAQ Software,4.7
Associate,marketRx,7.4
Business Analyst,marketRx,6.5
Assistant Vice President,Markit,10.6
Vice President,Markit,15.4
Application Developer,Marlabs,1.6
Senior Software Engineer,Marlabs,3.6
Systems Engineer,Marlabs,1.6
Assistant Manager,Maruti Suzuki,6.5
Deputy Manager,Maruti Suzuki,8.8
Graduate Engineer Trainee,Maruti Suzuki,5.1
Software Engineer,Marvell Technology,9.2
Senior Software Design Engineer,Mascon Global,25.9
Senior Software Engineer,Mastek,5.8
Software Engineer,Mastek,4.8
Technical Team Lead,Mastek,8.3
Assistant Professor,Marwadi Education Foundation,5.7
Management Trainee,Marico,12
Catering Supervisor,Malabar Hill Club,1.7
Service Manager,Malabar Hill Club,4.4
Planner / Estimator,Mazagon Dock Ltd.,3.9
Assistant Manager - Marketing,Max Bupa Health Insurance,6.7
Senior Executive - Marketing,Manipal Health Enterprises,4.9
Senior Accountant,MA Realty,2.8
Associate Software Engineer,McAfee,4.8
Senior Financial Analyst,McAfee,13.4
Senior SQA Engineer,McAfee,9.5
Senior Software Engineer,McAfee,11.2
Senior Technical Lead,McAfee,29
Software Engineer,McAfee,6.6
Software QA Engineer,McAfee,8.2
Technical Lead,McAfee,15.9
Analyst,McKinsey & Company,7.8
Associate,McKinsey & Company,22.9
Business Analyst,McKinsey & Company,9.9
Consultant,McKinsey & Company,23.3
Junior Associate,McKinsey & Company,21.1
Junior Research Analyst,McKinsey & Company,5.2
Partner,McKinsey & Company,47.9
Research Analyst,McKinsey & Company,6.4
Senior Research Analyst,McKinsey & Company,11.3
Assistant Brand Manager,McCann World wide,4.5
Software Engineer,MediaTek,6.1
Module Lead,Megasoft,9.8
Senior Member of Technical Staff,Mentor Graphics,13.4
Engineer,Mercedes-Benz Research and Development India,6.2
AVP product delivery,Metabridge,25.2
Senior Technician,Metro Dairy,3.4
Software Engineer,Mercer,4.2
Product Developer,Mectron Dental,3.9
Applications Engineer,Microchip Technology,5.1
Junior Software Engineer,Microchip Technology,6.8
Principal Software Engineer,Microchip Technology,15.9
Engineer,Microland,3.6
Senior Engineer,Microland,4.3
Senior Manager,Microland,18.9
Senior Manager - Operations,Microland,15.8
Technical Support Engineer,Microland,3.5
Analyst,Microsoft,3.7
Associate Consultant,Microsoft,11.3
Consultant,Microsoft,15
Lead Software Development Engineer,Microsoft,14.5
Manager,Microsoft,12.8
Program Manager,Microsoft,17.5
Senior Program Manager,Microsoft,24.8
Senior Software Development Engineer In Test,Microsoft,31.8
Senior Test Lead,Microsoft,29.1
Software Development Engineer,Microsoft,13.4
Software Development Engineer In Test,Microsoft,13.4
Support Engineer,Microsoft,10.1
Technical Consultant,Microsoft,11.8
Technical Support Engineer,Microsoft,9.7
Test Lead,Microsoft,14.8
Software Engineer,Mindfire Solutions,4.8
Analyst,MindTree,7.3
Assistant Manager,MindTree,8.6
Associate,MindTree,4.6
Associate Consultant,MindTree,9.4
Associate Director - Business Development,MindTree,11.2
Business Analyst,MindTree,7.8
Consultant,MindTree,10.5
Lead,MindTree,8
Module Lead,MindTree,7
Principal Consultant,MindTree,20
Programmer Analyst,MindTree,4.4
Project Lead,MindTree,11.1
Project Manager,MindTree,16
Senior Analyst,MindTree,10.8
Senior Associate,MindTree,6
Senior Consultant,MindTree,12.8
Senior Engineer,MindTree,5.9
Senior Project Manager,MindTree,20.3
Senior Software Engineer,MindTree,5.3
Senior Test Engineer,MindTree,5.4
Software Engineer,MindTree,4.2
Technical Lead,MindTree,9.8
Test Engineer,MindTree,3.4
Test Specialist,MindTree,7.6
Tester,MindTree,4.2
Senior Verification Engineer,Mirafra Technologies,12.6
Software Engineer,Misys Banking Systems,9
Project Manager,Misys Software Solutions,23.1
Senior Business Analyst,Misys Software Solutions,20.3
Software Engineer,Misys Software Solutions,6.7
Consultant,Mindcraft,21.2
Associate Consultant,Model N,4.4
Analyst,Morgan Stanley,10.9
Manager,Morgan Stanley,15.7
Senior Associate,Morgan Stanley,10.1
Senior Manager - IT,Morgan Stanley,21.1
Senior Technical Associate,Morgan Stanley,11.6
Software Development Manager,Morgan Stanley,14.7
Technology Analyst,Morgan Stanley,11.8
Engineering Manager,Motorola Mobility,24.2
Engineering Project Manager,Motorola Mobility,23.6
Junior Software Engineer,Motorola Mobility,7
Senior Software Engineer,Motorola Mobility,11.2
Senior Staff Software Engineer,Motorola Mobility,19.9
Software Development Engineer,Motorola Mobility,5.2
Software Engineer,Motorola Mobility,6.5
Technical Lead,Motorola Solutions,12.4
Executive,Mother Dairy,3.9
Executive Sales,Moserbaer,4.4
Lead Quality Engineer,Motherson Sumi Systems,4.7
UI Developer L2,Mobikasa,7
Associate Consultant,MphasiS,7.4
Associate Information Architect,MphasiS,8.5
Associate Software Engineer,MphasiS,4.1
Business Analyst,MphasiS,10.1
Delivery Module Lead,MphasiS,8.6
Delivery Project Leader,MphasiS,14
Delivery Software Engineer,MphasiS,5.4
Junior Software Engineer,MphasiS,5.1
Lead Consultant,MphasiS,16.2
Module Lead,MphasiS,10.1
Program Manager,MphasiS,17.5
Project Lead,MphasiS,10.8
Project Manager,MphasiS,13.2
Project Manager - IT,MphasiS,5.9
Senior Analyst,MphasiS,8.9
Senior Software Engineer,MphasiS,8.1
Software Engineer,MphasiS,5.6
Team Lead,MphasiS,9.6
Trainee Software Engineer,MphasiS,3.6
Analyst,Mu Sigma,4.1
Associate Manager,Mu Sigma,9.9
Business Analyst,Mu Sigma,4
Manager,Mu Sigma,16.6
Senior Analyst,Mu Sigma,8.5
Senior Business Analyst,Mu Sigma,8.9
Senior Software Engineer,Nagarro Software,7.6
Consultant,National Institute for Smart Government,13.9
Applications Engineer,National Instruments,6.7
R&D Software Engineer,National Instruments,7.9
Software Engineer,National Instruments,7.9
Staff Software Engineer,National Instruments,8.8
Engineer,National Thermal Power,8.8
Accountant,National Insurance,1.6
Project Lead,National Stock Exchange,14.9
Manager Personnel & IR,Nalco Water India Limited,5.6
Branch sales manager,Naukri.com,10.3
Talent Manager,Naukri.com,46.7
Product Manager,Nature Technologies Pvt Ltd,18
Module Lead,NCR,15.4
Senior Software Engineer,NDS,9.7
Software Engineer,NDS,6.4
Technical Lead,NDS,15.8
Software Engineer,NDS Pay TV Solutions,6.7
Technical Lead,NDS Pay TV Solutions,12.5
Lead Development,Ness Technologies,12.1
Manual Tester,Ness Technologies,8.2
Oracle Application DBA,Ness Technologies,6.5
Senior Software Development Engineer,Ness Technologies,9.3
Senior Software Engineer,Ness Technologies,7.5
Software Engineer,Ness Technologies,3.6
Member of Technical Staff I,NetApp,8.8
Member of Technical Staff II,NetApp,11.8
Member of Technical Staff III,NetApp,13.8
Member of Technical Staff IV,NetApp,23
Business Analyst,Newgen Software,9.4
Delivery Project Leader,Newgen Software,15.1
Project Manager,Newgen Software,15.1
Senior Software Engineer,Newgen Software,8.6
Unit coordinator,Newbridge Business Centres,3.3
Admin/ facility officer,Netgear Research,3.4
Assistant Vice President - Sales,Newtech,47.7
Senior Test Engineer,Netlink,5.7
Senior Software Engineer,Network 18,6.6
Practice Lead,NEC,30.4
Business Analyst,Newgen,3.2
Senior Software Engineer,Neev,7.4
Software Engineer,Netcracker,5.6
Project Lead,Ness,12.6
Technical Analyst,Neebal Technologies,3.6
Senior Interactive Developer,Newco,6.3
Design Lead,Nihilent Technologies,11.4
Collections Executive,NIIT,4.1
Consultant,NIIT Technologies,18.4
Developer,NIIT Technologies,4.1
Project Manager,NIIT Technologies,19.2
Senior Software Engineer,NIIT Technologies,5.7
Senior Test Engineer,NIIT Technologies,12.6
Software Engineer,NIIT Technologies,4.8
Technology Analyst,NIIT Technologies,6.5
Test Engineer,NIIT Technologies,4.6
Java Architect,NIL Labs,12.8
Assistant Manager,NMDC,6.6
Architect,Nokia,13
Associate Software Engineer,Nokia,5.4
Management Trainee,Nokia,17
Product Manager,Nokia,24.3
Program Manager,Nokia,24.2
Project Manager,Nokia,23.5
R&D Engineer,Nokia,8.8
Senior Software Engineer,Nokia,11.5
Senior Test Engineer,Nokia,9.8
Software Engineer,Nokia,7.6
Software Test Engineer,Nokia,9.8
Specialist,Nokia,17
Development Lead,Nokia Siemens Networks,10.5
Packet Core Engineer,Nokia Siemens Networks,3.2
R&D Engineer,Nokia Siemens Networks,6.2
Senior Software Developer,Nokia Siemens Networks,8.9
Senior Software Engineer,Nokia Siemens Networks,9.7
Senior Testing Engineer,Nokia Siemens Networks,8.9
Software Developer,Nokia Siemens Networks,9.1
Software Engineer,Nokia Siemens Networks,7.1
Solution Engineer,Nokia Siemens Networks,11.8
Technical Lead,Nokia Siemens Networks,11.6
Developer Analyst,Nomura Holdings,5.5
Senior Analyst,Nomura Holdings,10.6
Software Developer,Nomura Holdings,8.7
Tech Lead,Nomura Holdings,12.7
Senior Software Developer,Nomura International,12.3
Analyst,Nomura Securities,6.8
Senior Analyst,Nomura Securities,6.8
Analyst,Northern Trust,2.2
Financial Analyst,Northern Trust,4.4
Portfolio Accounting Analyst,Northern Trust,3.5
Senior Associate (Operations),Northern Trust,6
Product Manager,Novell,22.5
Senior Associate,Novell,13.9
Software Consultant,Novell,10.8
Software Engineer Consultant,Novell,15.1
Software Specialist,Novell,16.5
Senior Software Engineer,Novellus,9
Software Support Engineer,Novellus,5.5
Assistant Manager - Operations,Nogle Technologies,2.2
Head - Program Management Office,Novozymes,43.8
Clinical Manager,Novartis,9.7
Clinical Publisher,Novartis,5.5
Assistant Software Engineer,Novell India Pvt. Ltd.,6.6
Senior Software Engineer,Novell India Pvt. Ltd.,5.9
Software Consultant,Novell India Pvt. Ltd.,13.9
Senior Systems Administrator,Nocme Technologies Pvt. Ltd.,2.2
Verification Engineer,nSys Design Systems,3.8
Junior Software Engineer,NTT DATA,3.2
Lead Engineer,NTT DATA,11.1
Team Lead,NTT DATA,5.8
Senior Software Engineer,Nucleus Software Exports,5.8
Software Engineer,Nucleus Software Exports,4.4
Test Engineer,Nucleus Software Exports,4
ASIC Design Engineer,NVIDIA,9.2
GPU QA Engineer,NVIDIA,8.1
Hardware Design Engineer,NVIDIA,16.1
Hardware Engineer,NVIDIA,9.8
QA Engineer,NVIDIA,7
Senior ASIC Design Engineer,NVIDIA,18.4
Senior Software Development Engineer,NVIDIA,22.1
Senior Software Engineer,NVIDIA,16.9
Senior Software Quality Assurance Engineer,NVIDIA,12.5
Senior Systems Software Engineer,NVIDIA,14.6
Software Engineer,NVIDIA,8.9
Systems Engineer,NVIDIA,9.5
Systems Software Engineer,NVIDIA,9.5
Design Engineer,NXP,8.6
Senior Software Engineer,NXP,8
Senior Software Engineer,Obopay,10.3
Product Manager,Ocwen Financial,20.1
Software Engineer,Ocwen Financial,4.8
Software Development Engineer,Olacabs,15.2
Associate General Manager,Olam International Limited,37.1
Bid Manager,Omnitech,6
Project Manager,One97 Communications,14.9
Assistant Executive Engineer,ONGC,8.5
Executive Engineer,ONGC,15
Engineering Lead,OnMobile,14.9
Product Manager,OnMobile,19.7
Regional Manager,OnMobile,10.2
Senior Software Engineer,OnMobile,10.5
Software Engineer,OnMobile,6.5
Software Quality Engineer,OnMobile,5.5
Technical Lead,OnMobile,15.4
Senior Software Engineer,One Network Enterprises,9.4
CRM developer,Onward Group,2.9
Graduate Engineer Trainee,ONGC Mangalore Petrochemicals Limited,6.3
SEO Executive,Ontarget,1.1
Java J2EE Developer,Oodles Technologies,3.2
Senior Software Engineer,Open Solutions,6.2
Senior Software Engineer,Opera Solutions,8.4
Software Developer,Opel it services,3.8
Junior Software Engineer,Opus software solutions,2.8
Software Development Engineer,Opus software solutions,2.8
Applications Developer,Oracle Financial Services,7.6
Applications Developer II,Oracle Financial Services,7.4
Applications Engineer,Oracle Financial Services,7.4
Applications Engineer II,Oracle Financial Services,10.7
Assistant Manager - Operations,Oracle Financial Services,7.4
Associate Applications Engineer,Oracle Financial Services,7.1
Associate Staff Engineer,Oracle Financial Services,6.8
Associate Staff Engineer,Oracle Financial Services,6.8
Business Analyst,Oracle Financial Services,11.1
Business Operations Analyst III,Oracle Financial Services,7.7
Consultant,Oracle Financial Services,8.6
Design and application engineer,Oracle Financial Services,7.4
Development Manager,Oracle Financial Services,17
IT Consultant,Oracle Financial Services,9
IT Consultant,Oracle Financial Services,9
Lead Financial Analyst,Oracle Financial Services,6.4
Member of Technical Staff,Oracle Financial Services,9.3
Oracle Principal Consultant,Oracle Financial Services,19.8
Oracle Principal Consultant,Oracle Financial Services,19.8
Principal Consultant,Oracle Financial Services,16.5
Principal Member of Technical Staff,Oracle Financial Services,20
Principal Product Manager,Oracle Financial Services,16.3
Principal SQA Engineer,Oracle Financial Services,11.3
Project Lead,Oracle Financial Services,11.7
Project Manager,Oracle Financial Services,12.8
QA Engineer,Oracle Financial Services,8.4
QA Engineer,Oracle Financial Services,8.4
Recruiter,Oracle Financial Services,8.1
Senior Applications Developer,Oracle Financial Services,10.4
Senior Applications Engineer,Oracle Financial Services,8.3
Senior Consultant (Consulting),Oracle Financial Services,10.6
Senior Development Manager,Oracle Financial Services,25.9
Senior Member of Technical Staff,Oracle Financial Services,11.8
Senior Principal Consultant,Oracle Financial Services,19.3
Senior Principal Consultant,Oracle Financial Services,19.3
Senior SQA Engineer,Oracle Financial Services,11.4
Senior Software Engineer,Oracle Financial Services,9.5
Senior Solutions Consultant,Oracle Financial Services,12.1
Senior Technical Analyst,Oracle Financial Services,7
Senior Technical Consultant,Oracle Financial Services,9.9
Software Developer,Oracle Financial Services,8.9
Software Development Engineer,Oracle Financial Services,11
Software Development Manager,Oracle Financial Services,24.4
Software Engineer,Oracle Financial Services,7.3
Software Engineer,Oracle Financial Services,7.3
Staff Software Engineer,Oracle Financial Services,9.6
System Analyst,Oracle Financial Services,5.2
Team Lead,Oracle Financial Services,11
Technical Analyst,Oracle Financial Services,7.5
Technical Application Engineer,Oracle Financial Services,7.9
Senior Database Administrator,Orange Business Services,12.8
Applications Developer,Oracle Financial Services,7.6
Applications Developer II,Oracle Financial Services,7.4
Applications Engineer,Oracle Financial Services,7.4
Applications Engineer II,Oracle Financial Services,10.7
Assistant Manager - Operations,Oracle Financial Services,7.4
Associate Applications Engineer,Oracle Financial Services,7.1
Associate Consultant,Oracle Financial Services,4.7
Associate Staff Engineer,Oracle Financial Services,6.8
Business Analyst,Oracle Financial Services,11.1
Business Operations Analyst III,Oracle Financial Services,7.7
Consultant,Oracle Financial Services,8.6
Development Manager,Oracle Financial Services,17
Financial Analyst,Oracle Financial Services,11
Financial Analyst,Oracle Financial Services,11
IT Consultant,Oracle Financial Services,9
Lead Engineer,Oracle Financial Services,14.2
Member of Technical Staff,Oracle Financial Services,9.3
Oracle Principal Consultant,Oracle Financial Services,19.8
Principal Consultant,Oracle Financial Services,16.5
Principal Member of Technical Staff,Oracle Financial Services,20
Principal Member of Technical Staff,Oracle Financial Services,20
Principal Product Manager,Oracle Financial Services,16.3
Principal SQA Engineer,Oracle Financial Services,11.3
Principal Software Engineer,Oracle Financial Services,15.6
Project Lead,Oracle Financial Services,11.7
Project Manager,Oracle Financial Services,12.8
QA Engineer,Oracle Financial Services,8.4
Recruiter,Oracle Financial Services,8.1
Senior Applications Developer,Oracle Financial Services,10.4
Senior Applications Engineer,Oracle Financial Services,8.3
Senior Consultant (Consulting),Oracle Financial Services,10.6
Senior Development Manager,Oracle Financial Services,25.9
Senior Member of Technical Staff,Oracle Financial Services,11.8
Senior Member of Technical Staff,Oracle Financial Services,11.8
Senior Product Manager,Oracle Financial Services,13.6
Senior SQA Engineer,Oracle Financial Services,11.4
Senior Software Engineer,Oracle Financial Services,9.5
Senior Software Engineer,Oracle Financial Services,9.5
Senior Technical Analyst,Oracle Financial Services,7
Senior Technical Analyst,Oracle Financial Services,7
Software Developer,Oracle Financial Services,8.9
Software Development Engineer,Oracle Financial Services,11
Software Development Engineer,Oracle Financial Services,11
Software Development Manager,Oracle Financial Services,24.4
Staff Consultant,Oracle Financial Services,8.5
